reviewId,content,at,label_id,label_text,source
9b46da88-2c64-4e71-863a-6e726d4e07cd,sovenir nya scam masa flashdisk 3gb wkwkwk,2025-12-06 7:00:07,0,negatif,gold
7372d397-3d83-4cd3-a5d9-296ba6fdafe8,ribet Untuk penggunaan nya,2025-12-06 6:32:38,0,negatif,gold
515caf30-eb4d-47dd-8e62-bb81b5afcd37,bagus berguna banget untuk transaksi uang,2025-12-06 4:08:21,2,positif,gold
7846c3c1-0206-439b-bff6-8211b72ffc78,sangat membantu sekali,2025-12-06 2:00:51,2,positif,gold
3e93cec1-b6be-4a72-b61a-475794b3b68b,Kode negara Indonesia (+62) tidak ada.,2025-12-06 1:54:13,0,negatif,gold
8d85700f-09db-4f8b-9b1f-841acb6fffe3,"Jujur Masih Bagusan Livin By Mandiri, Lebih Lengkap & Detail Riwayat Keluar Masuk Uang Di Rekening Juga Tercatat Jelas Dalam Beberapa Bulan Tanpa Harus Setting Tanggal Untuk Melihat Riwayatnya",2025-12-05 23:46:45,0,negatif,gold
ce8333f0-3016-4db2-96fd-267445a91dfb,ok,2025-12-05 19:29:02,2,positif,gold
49d3ea99-5eee-46f7-a87e-9fbd19fcb896,sangat bagus,2025-12-05 17:47:10,2,positif,gold
d7667748-616e-4bc7-9f30-752c55ee301c,"tiap buka aplikasi selalu update , sebulan bisa 4-5 kali update",2025-12-05 17:25:34,0,negatif,gold
7a823e8e-bd25-428d-8481-b04b83470ca0,mau login minta otp ga masuk masuk gaje,2025-12-05 17:24:57,0,negatif,gold
c44ddc1b-16ce-4eb7-94e5-bfbf906785fe,sudah nonaktifkan aksesibilitas sama ajaa ga bisa masih suruhh verifikasi wajah untuk pemakaiain di tab samsung S7 fe 5G,2025-12-05 16:24:51,0,negatif,gold
222efc4d-a401-4c0e-88bc-811d317f084a,"kode negara INDONESIA TIDAK ADA, gmn mau input no.HP",2025-12-05 14:03:08,0,negatif,gold
f28d89b4-8c3a-488d-ac7f-7a9571be8cc9,"ini kenapa ya mybca tolong dong yang amanah udah dua kali beli kuota di sini kemarin² mah bisa² aja tapi kok sekarang GK bisa, uang nya kepotong tapi kuota nya GK masuk² udah dua kali tapi ttp GK masuk² nomornya juga udah bener terus kalo soal jaringan, jaringannya juga bagus temen saya soalnya sama kartu nya bagus² aja jaringannya tolong dong my BCA amanah nya 🙏",2025-12-05 11:33:25,0,negatif,gold
52fa1f7f-01f0-46cc-b6fd-373ef32369b1,bagus,2025-12-05 10:54:43,2,positif,gold
57c3a1ca-278d-4c39-b2ae-49f3d9a1a101,"apk nya sudah bagus tapi Kalau bisa tambahin lagi dong fitur bayar tagihan nya Kayak oto kredit Motor dan lain² , saya mau bayar angsuran kendaraan tidak tersediah ,mohon maaf kasih bintang 3 dulu kalau udah ada baru 5 🙏",2025-12-05 9:40:45,1,netral,gold
696f05d2-7567-4121-96e0-9dd19ac0dc9c,"akunnya terblokir, adminnya kemahalan",2025-12-05 9:29:50,0,negatif,gold
cf2154d2-6a73-48f9-a968-a7cbdfe7e5f7,"udah brpa kali sy mau buka mbking g bisa ,kenapa ya?",2025-12-05 9:07:05,0,negatif,gold
70d677ba-31e4-4430-bf1d-b011f132b718,sudah ada Sistem E-wallet nya dan tolong untuk ditambahkan lagi memudahkan Transaksi Dan transfer dan kalau bisa Minimal kalo transfer Mbangking ke E-wallet minimal sepuluh ribu rupiah sudah bagus ada e wallet nya dan tidak ada biaya admin dan mohon sekali ditambahkan pembayaran E walletnya terimakasih,2025-12-05 8:44:08,1,netral,gold
87419042-639a-4b1a-b719-8493c4318352,error mulu x2,2025-12-05 7:51:36,0,negatif,gold
